"Title","RPI: Ave price - Grapefruit, each"
"CDID","DOHN"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","18-02-2026"
"Next release","25 March 2026"
"Important notes",
"1995","34"
"1996","31"
"1997","29"
"1998","29"
"1999","30"
"2000","30"
"2001","34"
"2002","36"
"2003","38"
"2004","37"
"2005","36"
"2006","37"
"2007","36"
"2008","37"
"2009","38"
"2010","41"
"2011","42"
"2012","44"
"2013","48"
"2014","46"
"2015","51"
"2016","51"
"2017","54"
"2018","54"
"2019","55"
"2020","55"
"2021","55"
"2022","54"
"2023","58"
"2024","57"
"1995 Q1","30"
"1995 Q2","33"
"1995 Q3","38"
"1995 Q4","35"
"1996 Q1","31"
"1996 Q2","30"
"1996 Q3","33"
"1996 Q4","31"
"1997 Q1","28"
"1997 Q2","27"
"1997 Q3","29"
"1997 Q4","31"
"1998 Q1","28"
"1998 Q2","31"
"1998 Q3","29"
"1998 Q4","28"
"1999 Q1","29"
"1999 Q2","29"
"1999 Q3","29"
"1999 Q4","30"
"2000 Q1","30"
"2000 Q2","31"
"2000 Q3","30"
"2000 Q4","30"
"2001 Q1","31"
"2001 Q2","34"
"2001 Q3","35"
"2001 Q4","37"
"2002 Q1","36"
"2002 Q2","36"
"2002 Q3","36"
"2002 Q4","35"
"2003 Q1","35"
"2003 Q2","36"
"2003 Q3","40"
"2003 Q4","38"
"2004 Q1","37"
"2004 Q2","36"
"2004 Q3","36"
"2004 Q4","37"
"2005 Q1","36"
"2005 Q2","36"
"2005 Q3","37"
"2005 Q4","36"
"2006 Q1","37"
"2006 Q2","37"
"2006 Q3","37"
"2006 Q4","37"
"2007 Q1","35"
"2007 Q2","36"
"2007 Q3","36"
"2007 Q4","36"
"2008 Q1","36"
"2008 Q2","36"
"2008 Q3","37"
"2008 Q4","37"
"2009 Q1","38"
"2009 Q2","38"
"2009 Q3","38"
"2009 Q4","39"
"2010 Q1","39"
"2010 Q2","40"
"2010 Q3","41"
"2010 Q4","42"
"2011 Q1","41"
"2011 Q2","41"
"2011 Q3","44"
"2011 Q4","43"
"2012 Q1","40"
"2012 Q2","44"
"2012 Q3","47"
"2012 Q4","47"
"2013 Q1","48"
"2013 Q2","49"
"2013 Q3","49"
"2013 Q4","48"
"2014 Q1","46"
"2014 Q2","46"
"2014 Q3","45"
"2014 Q4","47"
"2015 Q1","49"
"2015 Q2","51"
"2015 Q3","51"
"2015 Q4","52"
"2016 Q1","50"
"2016 Q2","51"
"2016 Q3","52"
"2016 Q4","51"
"2017 Q1","53"
"2017 Q2","53"
"2017 Q3","55"
"2017 Q4","55"
"2018 Q1","54"
"2018 Q2","54"
"2018 Q3","54"
"2018 Q4","54"
"2019 Q1","55"
"2019 Q2","55"
"2019 Q3","55"
"2019 Q4","56"
"2020 Q1","55"
"2020 Q2","55"
"2020 Q3","55"
"2020 Q4","56"
"2021 Q1","54"
"2021 Q2","57"
"2021 Q3","55"
"2021 Q4","55"
"2022 Q1","53"
"2022 Q2","53"
"2022 Q3","54"
"2022 Q4","55"
"2023 Q1","57"
"2023 Q2","59"
"2023 Q3","58"
"2023 Q4","58"
"2024 Q1","57"
"2024 Q2","56"
"2024 Q3","56"
"2024 Q4","57"
"1995 JAN","30"
"1995 FEB","30"
"1995 MAR","31"
"1995 APR","32"
"1995 MAY","31"
"1995 JUN","35"
"1995 JUL","38"
"1995 AUG","38"
"1995 SEP","37"
"1995 OCT","36"
"1995 NOV","36"
"1995 DEC","34"
"1996 JAN","33"
"1996 FEB","30"
"1996 MAR","29"
"1996 APR","29"
"1996 MAY","30"
"1996 JUN","31"
"1996 JUL","32"
"1996 AUG","33"
"1996 SEP","33"
"1996 OCT","32"
"1996 NOV","32"
"1996 DEC","29"
"1997 JAN","27"
"1997 FEB","29"
"1997 MAR","29"
"1997 APR","26"
"1997 MAY","28"
"1997 JUN","28"
"1997 JUL","28"
"1997 AUG","29"
"1997 SEP","29"
"1997 OCT","32"
"1997 NOV","31"
